,city,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,country
139,Fairbanks,64.84,-147.72,55.0,81,1,9.17,US
140,Katakwi,1.89,33.97,72.03,80,94,0.83,UG
141,Saint Paul Harbor,57.79,-152.41,51.8,93,90,5.95,US
142,Liuzhou,24.31,109.39,79.38,80,100,1.05,CN
143,Batemans Bay,-35.72,150.18,45.0,78,24,1.01,AU
144,Wakkanai,45.41,141.67,61.47,94,15,7.74,JP
145,Thompson,55.74,-97.86,57.2,62,90,5.39,CA
146,Cabo San Lucas,22.89,-109.91,89.6,58,5,5.82,MX
147,Skellefteå,64.75,20.95,66.2,39,8,9.17,SE
148,Hwange,-18.37,26.5,72.19,20,0,4.81,ZW
149,Katunino,64.39,40.63,51.8,93,75,4.47,RU
150,Uzhur,55.3,89.83,58.53,90,13,2.93,RU
151,Kruisfontein,-34.0,24.73,64.99,21,59,1.01,ZA
152,Tiksi,71.69,128.87,47.26,65,100,5.12,RU
153,Paraná,-31.73,-60.52,72.0,18,0,5.99,AR
154,Kiryat Gat,31.61,34.76,86.0,54,0,1.01,IL
155,Cherskiy,68.75,161.3,40.5,93,100,9.46,RU
156,Port-Gentil,-0.72,8.78,80.6,74,75,16.89,GA
157,Vanavara,60.34,102.28,50.0,62,66,5.86,RU
158,Alofi,-19.06,-169.92,71.6,73,75,11.41,NU
159,Santa Cruz de Tenerife,28.47,-16.25,82.99,34,0,6.93,ES
160,Kununurra,-15.77,128.73,69.8,85,0,4.34,AU
161,Tumpat,6.2,102.17,82.4,83,40,4.7,MY
162,Clyde River,70.47,-68.59,42.8,100,75,21.92,CA
163,Malanje,-9.54,16.34,81.7,23,64,2.84,AO
164,Hithadhoo,-0.6,73.08,84.42,71,82,6.89,MV
165,Ýpsonas,34.69,32.96,84.2,66,0,16.11,CY
166,Coyhaique,-45.58,-72.07,42.8,75,90,9.17,CL
167,Shahrud,36.42,54.98,68.85,62,1,14.43,IR
168,Fox Lake,42.4,-88.18,79.0,73,94,4.74,US
169,Sfântu Gheorghe,45.87,25.78,79.0,51,51,1.01,RO
170,Worpswede,53.22,8.93,68.0,100,75,3.36,DE
171,Gizo Government Station,-8.1,156.84,80.29,83,70,11.7,SB
172,Tombouctou,20.0,-3.0,110.12,15,0,10.09,ML
173,La Ronge,55.1,-105.28,64.4,72,5,4.7,CA
174,Otradnoye,59.78,30.82,63.0,58,0,7.09,RU
175,Dikson,73.51,80.55,51.49,93,42,12.48,RU
176,Kaitangata,-46.28,169.85,37.99,82,61,4.79,NZ
177,Guhāgar,17.48,73.19,79.39,86,100,11.77,IN
178,Tuatapere,-46.13,167.68,37.0,96,96,1.99,NZ
179,Mapimí,25.82,-103.85,81.0,44,40,4.7,MX
180,Limanowa,49.71,20.42,73.0,66,100,3.96,PL
181,Volosovo,59.43,29.48,64.4,55,0,11.18,RU
182,Oliveira dos Brejinhos,-12.32,-42.9,94.12,23,0,6.29,BR
183,Queimadas,-10.98,-39.63,89.29,34,26,12.73,BR
184,Paamiut,61.99,-49.67,48.56,61,0,13.15,GL
185,Changde,29.05,111.68,79.77,73,0,2.62,CN
186,Sinnamary,5.38,-52.95,84.0,71,91,10.83,GF
187,Cayenne,4.93,-52.33,89.6,59,20,10.29,GF
188,Lebu,-37.62,-73.65,50.95,68,0,6.6,CL
189,Roald,62.58,6.13,66.99,77,3,14.99,NO
190,Kodinsk,58.69,99.18,55.26,51,100,4.45,RU
191,Saskylakh,71.92,114.08,59.0,64,99,8.68,RU
192,Ouadda,8.08,22.4,71.01,94,91,2.42,CF
193,Vanimo,-2.67,141.3,77.61,84,6,5.23,PG
194,Springfield,37.22,-93.3,82.4,45,1,11.41,US
195,Constitución,-35.33,-72.42,54.37,60,0,11.36,CL
196,Ulladulla,-35.35,150.47,54.0,58,90,9.17,AU
197,Pinega,64.7,43.39,48.13,90,100,4.38,RU
198,Sambava,-14.27,50.17,71.71,81,0,15.61,MG
199,Mamakan,57.82,114.0,43.43,74,0,2.86,RU
200,Zhangye,38.93,100.45,70.52,27,14,5.79,CN
201,Chabahar,25.29,60.64,86.0,79,40,6.93,IR
202,Granja,-3.12,-40.83,99.12,24,7,8.99,BR
203,Rafaela,-31.25,-61.49,72.0,13,0,1.99,AR
204,Sur,22.57,59.53,88.72,60,52,12.82,OM
205,Ilulissat,69.22,-51.1,50.0,46,75,3.36,GL
206,Noumea,-22.28,166.46,73.0,100,90,3.36,NC
207,Pangnirtung,66.15,-65.71,46.4,93,90,8.05,CA
208,Talnakh,69.49,88.4,59.0,58,1,4.47,RU
209,Bethel,41.37,-73.41,75.99,69,40,4.7,US
210,East London,-33.02,27.91,61.92,66,27,19.84,ZA
211,Dhandhuka,22.37,71.98,81.36,85,100,17.09,IN
212,Samarai,-10.62,150.67,73.9,74,62,11.05,PG
213,Oddur,4.12,43.89,79.75,51,94,16.8,SO
214,Olafsvik,64.89,-23.71,57.34,79,70,10.22,IS
215,Russell,32.35,-85.2,89.6,52,1,1.21,US
216,Guane,22.2,-84.09,92.12,51,14,4.79,CU
217,North Platte,41.12,-100.77,82.0,57,1,3.36,US
218,Ostrovnoy,68.05,39.51,47.23,81,100,9.91,RU
219,Vao,-22.67,167.48,69.64,92,96,15.21,NC
220,Conroe,30.31,-95.46,80.01,78,20,5.82,US
221,Praia,14.92,-23.51,84.2,70,40,11.41,CV
222,Warwick,41.7,-71.42,73.0,68,75,6.93,US
223,Mossamedes,-15.2,12.15,63.64,82,67,11.12,AO
224,Cap Malheureux,-19.98,57.61,71.01,69,3,3.0,MU
225,Åmot,59.57,7.99,79.0,53,66,1.99,NO
226,Turukhansk,65.82,87.98,58.41,78,93,11.68,RU
227,Vardø,70.37,31.11,48.2,70,75,13.87,NO
228,Mercedes,-34.65,-59.43,66.99,37,0,1.99,AR
229,Sirari,-1.23,34.43,68.99,64,94,2.71,TZ
230,Sioux Lookout,50.1,-91.92,64.4,63,75,9.17,CA
231,Juneau,58.3,-134.42,53.6,93,90,9.17,US
232,Sarti,40.1,23.98,77.32,58,0,5.35,GR
233,Sigli,5.38,95.96,79.79,78,8,3.38,ID
234,Jhelum,32.93,73.73,91.74,59,14,8.99,PK
235,Yeppoon,-23.13,150.73,51.8,81,0,3.18,AU
236,Kincardine,56.07,-3.72,60.01,100,90,10.29,GB
237,Batman,37.89,41.13,91.4,26,0,4.7,TR
238,Touros,-5.2,-35.46,86.0,45,40,17.22,BR
239,Ban Nahin,18.24,104.21,73.31,89,100,1.05,LA
240,Changping,40.22,116.22,82.99,94,100,2.24,CN
241,Codrington,-38.27,141.97,49.68,93,62,9.35,AU
242,Basco,20.45,121.97,82.02,81,96,9.8,PH
243,Puksoozero,62.59,40.61,47.95,91,92,5.14,RU
244,Iquitos,-3.75,-73.25,89.6,62,40,4.7,PE
245,Pasni,25.26,63.47,82.71,85,84,6.64,PK
246,Cidreira,-30.18,-50.21,62.37,59,0,6.82,BR
247,Nerchinskiy Zavod,51.31,119.61,50.59,94,100,11.48,RU
248,Esperance,-33.87,121.9,46.4,75,65,20.8,AU
249,Jaciara,-15.97,-54.97,102.18,16,14,9.6,BR
250,Pundaguitan,6.37,126.17,81.43,77,100,9.48,PH
251,Araouane,18.9,-3.53,106.5,20,0,8.95,ML
252,Klaksvík,62.23,-6.59,55.4,82,35,10.29,FO
253,Katsuura,35.13,140.3,81.0,100,75,1.12,JP
254,Dryden,49.78,-92.75,62.6,67,90,6.93,CA
255,Gamba,-2.65,10.0,75.31,81,85,10.54,GA
256,Narsaq,60.92,-46.05,62.6,42,75,3.36,GL
257,Ossora,59.24,163.07,53.87,60,90,9.01,RU
258,Portland,45.52,-122.68,72.0,60,20,4.7,US
259,Santo Antônio de Jesus,-12.97,-39.26,81.01,59,25,7.87,BR
260,Castro,-24.79,-50.01,69.53,71,74,4.07,BR
261,Maryville,35.76,-83.97,82.99,57,75,4.7,US
262,Isangel,-19.55,169.27,75.27,84,89,15.66,VU
263,Te Anau,-45.42,167.72,35.96,88,99,1.16,NZ
264,Kulu,39.1,33.08,71.91,22,0,9.22,TR
265,George Town,5.41,100.34,82.4,83,20,2.59,MY
266,Ejura,7.39,-1.36,82.51,70,94,4.32,GH
267,Galle,6.04,80.22,80.1,87,29,8.28,LK
268,Rogovatoye,51.23,38.38,67.8,73,0,7.52,RU
269,Sault Ste. Marie,46.52,-84.33,71.6,64,1,10.29,CA
270,Fukuechō,32.69,128.84,82.81,73,0,6.6,JP
271,La Palma,33.85,-118.05,82.99,65,75,3.36,US
272,Chokurdakh,70.63,147.92,38.16,92,100,12.5,RU
273,Avera,33.19,-82.53,86.0,66,1,4.18,US
274,Sabha,27.04,14.43,99.05,12,0,19.15,LY
275,Casa Grande,32.88,-111.76,95.0,34,1,6.93,US
276,Taman',45.21,36.72,78.01,41,0,13.42,RU
277,Saint-Joseph,-21.37,55.62,71.6,73,90,12.75,RE
278,Fernie,49.5,-115.07,77.0,45,40,5.73,CA
279,Natal,-5.79,-35.21,86.0,51,20,23.04,BR
280,Abnūb,27.27,31.15,98.6,29,0,10.29,EG
281,Hervey Bay,-25.3,152.85,52.0,87,0,6.2,AU
282,Kaputa,-8.47,29.66,77.41,29,54,1.59,ZM
283,Rudnichnyy,59.62,52.47,51.55,90,94,8.01,RU
284,Tiznit Province,29.58,-9.5,87.6,24,0,8.28,MA
285,Buraidah,26.33,43.98,100.4,19,89,10.29,SA
286,Iqaluit,63.75,-68.51,46.4,87,75,6.93,CA
287,Oranjestad,12.52,-70.03,87.8,66,40,11.41,AW
288,Nosy Varika,-20.58,48.53,68.72,83,2,6.29,MG
289,Turaif,31.67,38.66,93.2,20,0,13.87,SA
290,Bafoulabé,13.81,-10.83,88.75,69,97,6.11,ML
291,Nara,34.69,135.8,87.01,29,39,2.73,JP
292,Chitral,35.85,71.79,83.03,44,2,5.01,PK
293,Lira,2.23,32.91,68.36,87,60,3.11,UG
294,Manjacaze,-24.71,33.88,62.46,77,60,5.91,MZ
295,Shangrao,28.45,117.97,80.49,73,0,2.59,CN
296,Ahipara,-35.17,173.17,56.48,81,100,14.05,NZ
297,Virginia Beach,36.85,-75.98,81.0,69,75,6.93,US
298,Harper,4.38,-7.72,76.46,73,76,8.28,LR
299,Regen,48.97,13.13,73.99,68,89,1.01,DE
300,Kempsey,-31.08,152.83,46.0,85,30,3.22,AU
301,Vicuña,-30.03,-70.71,51.8,81,90,4.7,CL
302,Phang Nga,8.45,98.53,80.6,83,20,5.82,TH
303,Valparaíso,-33.04,-71.63,53.6,58,0,3.36,CL
304,Faya,18.39,42.45,75.2,53,40,5.82,SA
305,Punto Fijo,11.7,-70.2,89.17,57,40,12.73,VE
306,Maxixe,-23.86,35.35,71.6,73,75,10.29,MZ
307,Kysyl-Syr,63.9,122.76,44.4,64,12,2.86,RU
308,Mildura,-34.2,142.15,53.6,81,90,4.7,AU
309,Caravelas,-17.71,-39.25,80.35,64,16,10.18,BR
310,Mendi,-6.18,143.65,53.87,100,59,0.76,PG
311,Zdounky,49.23,17.32,75.99,74,61,1.99,CZ
312,Kroya,-7.63,109.25,76.89,84,89,7.85,ID
313,Vila Franca do Campo,37.72,-25.43,77.0,78,40,20.8,PT
314,Aykhal,66.0,111.5,53.6,46,16,3.91,RU
315,Yangi Marg`ilon,40.43,71.72,80.6,57,87,4.7,UZ
316,Lompoc,34.64,-120.46,69.8,82,1,5.01,US
317,Mokrousovo,55.81,66.77,55.62,89,31,7.7,RU
318,Dwārka,22.24,68.97,83.17,83,100,16.69,IN
319,Esmeraldas,-19.76,-44.31,84.2,45,22,6.93,BR
320,Karatuzskoye,53.61,92.87,61.56,94,99,2.91,RU
321,Ketchikan,55.34,-131.65,57.2,100,90,10.29,US
322,Lata,40.16,-8.33,84.99,54,65,10.74,PT
323,Câmara de Lobos,32.63,-16.97,80.6,61,20,16.11,PT
324,Cooma,-36.23,149.13,42.8,80,90,8.05,AU
325,Saint George,37.1,-113.58,93.99,11,1,3.36,US
326,Santo Estêvão,-12.43,-39.25,83.98,51,69,9.8,BR
327,Lagoa,39.05,-27.98,74.52,88,94,31.25,PT
328,Kampene,-3.6,26.67,83.52,40,91,3.06,CD
329,Verkhnyaya Inta,65.98,60.31,52.95,72,100,9.6,RU
330,Uribia,11.71,-72.27,93.72,45,72,11.54,CO
331,Palana,59.12,159.97,45.88,84,25,3.67,RU
332,Winnemucca,40.97,-117.74,82.4,28,1,5.82,US
333,Isakly,54.13,51.53,56.01,93,97,6.42,RU
334,Sept-Îles,50.2,-66.38,66.2,77,75,14.99,CA
335,Skeldon,5.88,-57.13,84.56,72,95,4.29,GY
336,Blagoyevo,63.37,47.92,46.92,76,8,2.3,RU
337,Kutum,14.2,24.67,80.87,54,99,8.61,SD
338,Samandağ,36.08,35.98,86.0,51,1,11.41,TR
339,Maragogi,-9.01,-35.22,78.57,71,17,10.74,BR
340,Preobrazheniye,42.9,133.91,71.04,73,87,6.31,RU
341,Muisne,0.6,-80.03,80.6,78,90,6.93,EC
342,Makakilo City,21.35,-158.09,77.0,78,1,7.54,US
343,Popondetta,-8.75,148.25,71.28,83,62,2.84,PG
344,Ville-Marie,47.33,-79.43,66.2,72,75,5.82,CA
345,Olinda,-8.01,-34.86,84.2,62,40,12.75,BR
346,Ballina,-28.87,153.57,55.4,62,0,9.17,AU
347,Tataouine,32.93,10.45,109.4,17,14,2.24,TN
348,Nizhneudinsk,54.91,99.03,52.2,73,87,3.94,RU
349,Barra Patuca,15.8,-84.28,83.84,78,87,4.03,HN
350,Riyadh,24.69,46.72,102.2,12,72,10.29,SA
351,Saint Anthony,45.02,-93.22,73.99,46,1,14.99,US
352,Rosehearty,57.7,-2.11,57.0,89,70,8.01,GB
353,San Ramon,37.78,-121.98,84.0,44,1,1.88,US
354,Lancaster,40.25,-76.25,78.01,69,75,10.29,US
355,Saldanha,-33.01,17.94,57.2,82,61,12.75,ZA
356,Bukachacha,52.98,116.92,43.36,83,24,5.82,RU
357,Potanino,55.18,61.62,53.6,81,40,13.42,RU
358,Parabel',58.7,81.48,61.09,79,100,9.13,RU
359,Gravdal,68.12,13.5,50.0,81,75,11.41,NO
360,Nānākuli,21.39,-158.15,77.0,78,1,8.25,US
361,Auce,56.46,22.9,67.12,63,0,5.37,LV
362,Binzhou,37.37,118.02,91.0,71,7,4.92,CN
363,Mahbūbābād,17.62,80.02,75.0,92,99,5.06,IN
364,Pedernales,18.04,-71.74,89.6,66,20,11.41,DO
365,Fonte Boa,-2.5,-66.27,97.95,38,5,1.43,BR
366,Almeirim,-1.52,-52.58,96.08,36,60,5.64,BR
367,Alirajpur,22.3,74.35,77.41,92,100,14.9,IN
368,Ust-Tsilma,65.44,52.15,47.68,95,100,4.68,RU
369,Karratha,-20.74,116.85,65.3,30,0,11.48,AU
370,Banjar,-8.19,114.97,78.8,100,40,12.75,ID
371,Testour,36.55,9.44,95.0,24,20,9.86,TN
372,Shimoda,34.67,138.95,77.0,95,32,2.51,JP
373,Abhā,18.22,42.51,75.2,53,40,5.82,SA
374,Igarka,67.47,86.58,55.06,77,96,8.5,RU
375,Puerto Nariño,-3.77,-70.38,75.2,100,75,4.7,CO
376,Vostok,46.49,135.88,53.85,99,24,3.96,RU
377,Ciudad Bolivar,8.12,-63.55,93.06,51,86,2.66,VE
378,Okha,53.57,142.95,50.04,92,43,4.23,RU
379,Nagato,34.38,131.2,82.4,78,20,3.36,JP
380,Cumberland,35.05,-78.87,86.0,58,20,2.57,US
381,Umm Kaddadah,13.6,26.69,87.69,48,96,14.03,SD
382,Maunabo,18.01,-65.9,90.0,76,18,8.99,PR
383,Santarém,-2.44,-54.71,87.8,70,20,12.75,BR
384,Namatanai,-3.67,152.43,78.85,83,8,10.83,PG
385,Mbandaka,0.05,18.26,76.39,83,87,1.63,CD
386,Ardabil,38.25,48.29,55.4,93,75,16.11,IR
387,Pisco,-13.7,-76.22,64.0,77,75,9.17,PE
388,Venice,27.1,-82.45,90.0,70,1,9.17,US
389,Tigil',57.8,158.67,44.64,85,15,2.01,RU
390,Katobu,-4.94,122.53,71.44,91,29,2.71,ID
391,Oodweyne,9.41,45.06,82.56,44,70,20.31,SO
392,Knysna,-34.04,23.05,53.6,62,40,32.21,ZA
393,Zhigansk,66.77,123.37,46.56,56,41,7.05,RU
394,Khovd,48.01,91.64,61.54,61,20,3.29,MN
395,Suntar,62.14,117.63,46.44,76,2,1.97,RU
396,San Andrés,12.58,-81.7,87.8,70,40,10.29,CO
397,Mikhaylovskoye,51.82,79.72,69.28,50,83,6.46,RU
398,Samut Sakhon,13.55,100.27,86.0,75,100,5.7,TH
399,Kasongo-Lunda,-6.47,16.82,90.45,31,56,2.95,CD
400,Andernach,50.43,7.4,79.0,53,63,4.23,DE
401,Pārsābād,39.65,47.92,71.6,64,90,6.93,IR
402,Waipawa,-41.41,175.52,39.2,93,1,3.36,NZ
403,Lima,-12.04,-77.03,62.6,72,75,6.93,PE
404,Aranda de Duero,41.67,-3.69,78.93,32,92,13.67,ES
405,Haines Junction,60.75,-137.51,48.67,86,100,0.78,CA
406,Luganville,-15.53,167.17,75.2,88,75,3.36,VU
407,Marshfield,44.67,-90.17,75.2,53,20,9.17,US
408,Balkanabat,39.51,54.37,82.94,27,55,11.72,TM
409,Adrar,20.5,-10.07,108.36,15,0,12.62,MR
410,Dicabisagan,17.08,122.42,77.31,83,100,2.01,PH
411,Puerto Madryn,-42.77,-65.04,57.69,36,79,29.35,AR
412,Morón,-34.65,-58.62,64.0,32,0,11.41,AR
413,Pāchora,20.67,75.35,76.28,88,100,8.95,IN
414,San Juan de los Morros,9.91,-67.35,84.58,68,52,2.86,VE
415,Simao,22.79,100.97,65.05,96,100,3.0,CN
416,Mount Isa,-20.73,139.5,51.8,28,0,7.4,AU
417,Sosnovka,56.26,51.28,52.39,97,100,6.26,RU
418,Faanui,-16.48,-151.75,77.47,71,58,11.27,PF
419,Fuengirola,36.54,-4.62,91.0,35,0,11.41,ES
420,Mulungu,-7.02,-35.46,84.2,48,75,14.99,BR
421,Kilinochchi,9.4,80.4,79.65,80,95,11.63,LK
422,Ekhabi,53.51,142.97,49.08,94,42,4.79,RU
423,Tacuarembó,-31.73,-55.98,65.07,42,0,3.94,UY
424,Ous,60.91,61.52,54.88,97,100,8.55,RU
425,Galveston,29.37,-94.97,86.0,66,1,5.82,US
426,Port Hedland,-20.32,118.57,62.6,82,0,8.05,AU
427,Chernyshevskiy,63.01,112.47,46.51,66,0,1.99,RU
428,Toucheng,24.86,121.82,84.99,79,20,9.17,TW
429,Port Lincoln,-34.73,135.87,53.01,73,18,17.2,AU
430,Fuyu,45.18,124.82,73.94,95,67,12.01,CN
